meet_name,meet_date,season_year,race_name,course_name,gender
Terry Ward Invitational,2023-10-14,2023,Not Disclosed,"Baylands Park, 5 Kilometers",F
BVAL #2,2023-09-21,2023,Not Disclosed,"Montgomery Hill, 2.74 Miles",F
Fighting Knights Invitational,2023-09-16,2023,Not Disclosed,"Crystal Springs, 2.95 Miles",F
Fighting Knights Invitational,2023-09-16,2023,Not Disclosed,"Crystal Springs, 2.13 Miles",F
Lowell Invitational,2023-09-09,2023,Not Disclosed,"Golden Gate Park (Const), 2.78 Miles",F
Lowell Invitational,2023-09-09,2023,Not Disclosed,"Golden Gate Park (Const), 2.08 Miles",F
BVAL #1,2023-09-06,2023,Not Disclosed,"Montgomery Hill, 2.74 Miles",F
CA State Championship,2022-11-26,2022,Not Disclosed,"Woodward Park, 5 Kilometers",F
CCS Championsips,2022-11-12,2022,Not Disclosed,"Crystal Springs, 2.95 Miles",F
BVAL Championsips,2022-10-31,2022,Not Disclosed,"Crystal Springs, 2.95 Miles",F
BVAL #4,2022-10-20,2022,Not Disclosed,"Montgomery Hill, 2.74 Miles",F
Rough Rider Inv.,2022-10-14,2022,Not Disclosed,"Woodward Park, 3.5 Kilometers",F
Rough Rider Inv.,2022-10-14,2022,Not Disclosed,"Woodward Park, 5 Kilometers",F
Crystal Springs Invitational,2022-10-08,2022,Not Disclosed,"Crystal Springs, 2.95 Miles",F
BVAL #3,2022-10-05,2022,Not Disclosed,"Montgomery Hill, 2.74 Miles",F
BVAL #2,2022-09-23,2022,Not Disclosed,"Montgomery Hill, 2.74 Miles",F
Fighting Knights Invitational,2022-09-17,2022,Not Disclosed,"Crystal Springs, 2.13 Miles",F
Fighting Knights Invitational,2022-09-17,2022,Not Disclosed,"Crystal Springs, 2.95 Miles",F
Lowell Invitational,2022-09-10,2022,Not Disclosed,"Golden Gate Park (Const), 2.08 Miles",F
Lowell Invitational,2022-09-10,2022,Not Disclosed,"Golden Gate Park (Const), 2.78 Miles",F
Footlocker West,2021-12-24,2021,Not Disclosed,"Mt SAC, 5 Kilometers",F
